,OBJECTID,ISO,NAME_0,NAME_1,VARNAME_1,NL_NAME_1,HASC_1,FIPS_1,CC_1,TYPE_1,ENGTYPE_1,VALIDFR_1,VALIDTO_1,REMARKS_1,NAME_2,VARNAME_2,NL_NAME_2,HASC_2,FIPS_2,CC_2,TYPE_2,ENGTYPE_2,VALIDFR_2,VALIDTO_2,REMARKS_2,NAME_3,VARNAME_3,NL_NAME_3,HASC_3,TYPE_3,ENGTYPE_3,VALIDFR_3,VALIDTO_3,REMARKS_3,NAME_4,VARNAME_4,TYPE_4,ENGTYPE_4,VALIDFR_4,VALIDTO_4,REMARKS_4,NAME_5,TYPE_5,ENGTYPE_5,VALIDFR_5,VALIDTO_5,Shape_Leng,Shape_Area,bngy,psgc_bgy,_count,_sum,_mean,_median,_stdev,_min,_max,_range,_minority,_majority,_variety,Susceptibility,Intensity
32,74326,PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,19670617,Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,Ong Yiu Pob. (Bgy. 16),,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.03459356609,5.611430999999999e-05,Ong Yiu Pob. (Bgy. 16),160202071,0.650823679015127,138.625443630222,213.0,213.0,2.8421709430404e-14,213,213,0,213,213,1,None,Not Susceptible
33,74330,PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,19670617,Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,Doongan,,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.06649021986,0.00019878852,Doongan,160202039,2.0,426.0,213.0,213.0,0.0,213,213,0,213,213,1,None,Not Susceptible
34,74334,PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,19670617,Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,Lemon,,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.09249777509,0.00041281748999999994,Lemon,160202052,4.0,852.0,213.0,213.0,0.0,213,213,0,213,213,1,None,Not Susceptible
35,74340,PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,19670617,Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,Baan Riverside Pob. (Bgy. 20),,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.030166941660000002,4.17235e-05,Baan Riverside Pob. (Bgy. 20),160202033,0.483916510060054,103.074216642791,213.0,213.0,0.0,213,213,0,213,213,1,None,Not Susceptible
36,74343,PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,19670617,Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,Bayanihan Pob. (Bgy. 27),,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.057679578339999996,9.732496999999999e-05,Bayanihan Pob. (Bgy. 27),160202020,2.0,426.0,213.0,213.0,0.0,213,213,0,213,213,1,None,Not Susceptible
37,74344,PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,19670617,Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,San Ignacio Pob. (Bgy. 15),,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.02876358847,2.121689e-05,San Ignacio Pob. (Bgy. 15),160202075,0.24607728739494503,52.4144622151233,213.0,213.0,0.0,213,213,0,213,213,1,None,Not Susceptible
38,74349,PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,19670617,Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,Libertad,,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.11160519689000001,0.0006707099900000001,Libertad,160202054,8.0,1704.0,213.0,213.0,0.0,213,213,0,213,213,1,None,Not Susceptible
39,74352,PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,19670617,Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,Buhangin Pob. (Bgy. 19),,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.0543149257,0.00017109003,Buhangin Pob. (Bgy. 19),160202027,2.0,426.0,213.0,213.0,0.0,213,213,0,213,213,1,None,Not Susceptible
40,74353,PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,19670617,Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,Bancasi,,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.15508286098,0.00087752026,Bancasi,160202016,8.0,1704.0,213.0,213.0,0.0,213,213,0,213,213,1,None,Not Susceptible
41,74360,PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,19670617,Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,Leon Kilat Pob. (Bgy. 13),,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.026135101980000002,1.666935e-05,Leon Kilat Pob. (Bgy. 13),160202053,0.193334035993172,41.1801496665456,213.0,213.0,2.8421709430404e-14,213,213,0,213,213,1,None,Not Susceptible
42,74366,PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,19670617,Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,Limaha Pob. (Bgy. 14),,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.0174839761,2.010618e-05,Limaha Pob. (Bgy. 14),160202055,0.23319506213400698,49.6705482345435,213.0,213.0,2.8421709430404e-14,213,213,0,213,213,1,None,Not Susceptible
43,74368,PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,19670617,Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,Humabon Pob. (Bgy. 11),,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.01587608541,7.84221e-06,Humabon Pob. (Bgy. 11),160202048,0.0909553149048482,19.3734820747327,213.0,213.0,0.0,213,213,0,213,213,1,None,Not Susceptible
44,74370,PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,19670617,Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,Sikatuna Pob. (Bgy. 10),,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.015032141269999999,4.73177e-06,Sikatuna Pob. (Bgy. 10),160202078,0.0548798855824114,11.6894156290536,213.0,213.0,0.0,213,213,0,213,213,1,None,Not Susceptible
45,74375,PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,19670617,Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,Urduja Pob. (Bgy. 9),,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.01572401123,7.53441e-06,Urduja Pob. (Bgy. 9),160202089,0.0873854517118282,18.613101214619398,213.0,213.0,0.0,213,213,0,213,213,1,None,Not Susceptible
46,74377,PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,19670617,Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,Tandang Sora Pob. (Bgy. 12),,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.02612216577,2.396384e-05,Tandang Sora Pob. (Bgy. 12),160202085,0.277936896059791,59.2005588607354,213.0,213.0,0.0,213,213,0,213,213,1,None,Not Susceptible
47,74378,PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,19670617,Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,Taligaman,,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.09636985914999999,0.00046834818,Taligaman,160202084,5.0,673.0,134.6,155.0,72.1043687996782,41,213,172,41,41,5,Low,MMI-8
